Iterações	Bubble	Insertion	Heap	Merge	Quick	Radix
311	48205	24777	2457	2598	1552	3014
479	114481	57466	4084	4278	2603	4771
99	4851	2540	625	664	378	979
803	322003	161278	7460	7809	4573	8704
622	193131	97205	5541	5818	3433	6187
105	5460	2719	668	712	393	1004
753	283128	140624	6929	7259	4360	7938
113	6328	3300	732	776	454	1078
995	494515	246073	9530	9921	5943	10479
340	57630	28999	2747	2888	1731	3601
588	172578	88022	5186	5444	3382	5850
383	73153	35992	3152	3318	1810	3937
203	20503	10363	1487	1571	938	1915
173	14878	7687	1225	1301	774	1636
572	163306	82312	5034	5268	3341	6382
678	229503	114857	6132	6434	4124	7354
479	114481	57777	4082	4278	2553	5061
134	8911	4551	891	950	537	1356
380	72010	35678	3121	3288	1896	3676
575	165025	83503	5055	5301	3080	5722
582	169071	86266	5122	5378	3140	5791
61	1830	992	337	363	204	576
529	139656	69491	4583	4795	2903	5905
560	156520	79556	4903	5136	3196	5573
375	70125	35739	3081	3238	1857	3515
286	40755	21008	2224	2348	1372	2947
987	486591	243416	9442	9833	5885	10692
139	9591	4844	942	995	559	1320
639	203841	101998	5732	6005	3763	6548
474	112101	56489	4040	4228	2550	4865
61	1830	952	339	363	209	595
629	197506	100205	5612	5895	3479	7015
434	93961	46529	3649	3828	2282	4326
468	109278	54750	3974	4168	2443	4521
707	249571	124747	6440	6753	3923	7455
577	166176	84995	5077	5323	3155	6090
336	56280	28142	2694	2848	1667	3559
733	268278	133954	6708	7039	4293	8390
30	435	240	138	148	87	306
645	207690	106417	5790	6071	3532	6415
667	222111	111129	6019	6313	3762	7035
104	5356	2770	663	704	413	995
303	45753	23195	2388	2518	1476	2937
591	174345	89590	5219	5477	3266	6058
798	318003	160330	7406	7754	4581	8410
889	394716	199653	8382	8755	5018	9366
264	34716	17719	2025	2128	1274	2563
843	354903	179325	7883	8249	4762	9136
89	3916	2040	545	584	335	828
865	373680	188313	8114	8491	5304	9114
47	1081	558	242	265	145	480
731	266815	133115	6698	7017	4300	8367
176	15400	7814	1250	1328	782	1772
566	159895	81518	4959	5202	3173	5633
36	630	340	173	188	110	351
192	18336	9433	1387	1472	830	1930
839	351541	176524	7847	8205	4747	9598
752	282376	143773	6910	7248	4394	7927
838	350703	177734	7830	8194	4806	9082
463	106953	53546	3924	4118	2392	4753
586	171405	84570	5167	5422	3312	6184
968	468028	232371	9232	9624	5475	10486
26	325	191	114	124	60	269
930	431985	216901	8820	9206	5220	10076
503	126253	64108	4315	4518	2691	5616
167	13861	7165	1173	1247	716	1581
24	276	167	103	112	58	251
420	87990	44272	3511	3688	2199	4314
648	209628	104849	5810	6104	3918	7030
315	49455	25141	2502	2638	1580	3243
549	150426	76280	4789	5015	2996	5299
124	7626	3904	813	864	471	1181
77	2926	1560	459	488	278	720
534	142311	72078	4641	4850	2749	5960
466	108345	54254	3963	4148	2505	5065
191	18145	9237	1378	1463	875	1746
862	371091	186148	8090	8458	4670	9342
413	85078	43145	3437	3618	2345	4243
645	207690	105508	5783	6071	3660	7192
1000	499500	250635	9577	9976	6047	11735
938	439453	222320	8906	9294	5732	9880
266	35245	17810	2049	2148	1252	2743
893	398278	201322	8434	8799	5096	9408
128	8128	4281	848	896	555	1257
707	249571	125850	6439	6753	3745	7242
186	17205	8861	1336	1418	896	1814
522	135981	67827	4502	4718	2845	4725
767	293761	147992	7066	7413	4646	8085
325	52650	25878	2598	2738	1668	3345
418	87153	43579	3499	3668	2293	4294
898	402753	202405	8478	8854	5351	9730
638	203203	102090	5699	5994	3516	7115
366	66795	33843	2983	3148	1796	3653
55	1485	830	296	321	183	522
897	401856	202477	8466	8843	5219	9720
