Iterações	Bubble	Insertion	Heap	Merge	Quick	Radix
311	48205	310	2669	2598	48515	2826
479	114481	478	4393	4278	114959	4338
99	4851	98	685	664	4949	612
803	322003	802	7987	7809	322805	7254
622	193131	621	5963	5818	193752	5625
105	5460	104	726	712	5564	972
753	283128	752	7432	7259	283880	6804
113	6328	112	796	776	6440	1044
995	494515	994	10147	9921	495509	8982
340	57630	339	2972	2888	57969	3087
588	172578	587	5576	5444	173165	5319
383	73153	382	3403	3318	73535	3474
203	20503	202	1613	1571	20705	1854
173	14878	172	1336	1301	15050	1584
572	163306	571	5396	5268	163877	5175
678	229503	677	6599	6434	230180	6129
479	114481	478	4393	4278	114959	4338
134	8911	133	979	950	9044	1233
380	72010	379	3380	3288	72389	3447
575	165025	574	5435	5301	165599	5202
582	169071	581	5515	5378	169652	5265
61	1830	60	370	363	1890	384
529	139656	528	4916	4795	140184	4788
560	156520	559	5262	5136	157079	5067
375	70125	374	3325	3238	70499	3402
286	40755	285	2409	2348	41040	2601
987	486591	986	10053	9833	487577	8910
139	9591	138	1025	995	9729	1278
639	203841	638	6155	6005	204479	5778
474	112101	473	4337	4228	112574	4293
61	1830	60	370	363	1890	384
629	197506	628	6042	5895	198134	5688
434	93961	433	3923	3828	94394	3933
468	109278	467	4274	4168	109745	4239
707	249571	706	6919	6753	250277	6390
577	166176	576	5458	5323	166752	5220
336	56280	335	2920	2848	56615	3051
733	268278	732	7212	7039	269010	6624
30	435	29	151	148	464	198
645	207690	644	6224	6071	208334	5832
667	222111	666	6463	6313	222777	6030
104	5356	103	720	704	5459	963
303	45753	302	2587	2518	46055	2754
591	174345	590	5619	5477	174935	5346
798	318003	797	7951	7754	318800	7209
889	394716	888	8942	8755	395604	8028
264	34716	263	2178	2128	34979	2403
843	354903	842	8441	8249	355745	7614
89	3916	88	596	584	4004	552
865	373680	864	8688	8491	374544	7812
47	1081	46	271	265	1127	300
731	266815	730	7181	7017	267545	6606
176	15400	175	1362	1328	15575	1611
566	159895	565	5337	5202	160460	5121
36	630	35	190	188	665	234
192	18336	191	1508	1472	18527	1755
839	351541	838	8395	8205	352379	7578
752	282376	751	7416	7248	283127	6795
838	350703	837	8389	8194	351540	7569
463	106953	462	4223	4118	107415	4194
586	171405	585	5561	5422	171990	5301
968	468028	967	9842	9624	468995	8739
26	325	25	127	124	350	174
930	431985	929	9417	9206	432914	8397
503	126253	502	4629	4518	126755	4554
167	13861	166	1283	1247	14027	1530
24	276	23	114	112	299	162
420	87990	419	3788	3688	88409	3807
648	209628	647	6242	6104	210275	5859
315	49455	314	2707	2638	49769	2862
549	150426	548	5134	5015	150974	4968
124	7626	123	886	864	7749	1143
77	2926	76	500	488	3002	480
534	142311	533	4981	4850	142844	4833
466	108345	465	4257	4148	108810	4221
191	18145	190	1505	1463	18335	1746
862	371091	861	8659	8458	371952	7785
413	85078	412	3710	3618	85490	3744
645	207690	644	6224	6071	208334	5832
1000	499500	999	10208	9976	500499	9027
938	439453	937	9507	9294	440390	8469
266	35245	265	2209	2148	35510	2421
893	398278	892	9006	8799	399170	8064
128	8128	127	914	896	8255	1179
707	249571	706	6919	6753	250277	6390
186	17205	185	1461	1418	17390	1701
522	135981	521	4839	4718	136502	4725
767	293761	766	7591	7413	294527	6930
325	52650	324	2816	2738	52974	2952
418	87153	417	3765	3668	87570	3789
898	402753	897	9059	8854	403650	8109
638	203203	637	6137	5994	203840	5769
366	66795	365	3239	3148	67160	3321
55	1485	54	329	321	1539	348
897	401856	896	9052	8843	402752	8100
