Iterações	Bubble	Insertion	Heap	Merge	Quick	Radix
311	48205	48515	2240	2598	24335	2826
479	114481	114959	3756	4278	57599	4338
99	4851	4949	548	664	2499	612
803	322003	322805	6870	7809	161603	7254
622	193131	193752	5110	5818	97031	5625
105	5460	5564	600	712	2808	972
753	283128	283880	6390	7259	142128	6804
113	6328	6440	656	776	3248	1044
995	494515	495509	8798	9921	248003	8982
340	57630	57969	2474	2888	29069	3087
588	172578	173165	4768	5444	86729	5319
383	73153	73535	2874	3318	36863	3474
203	20503	20705	1344	1571	10403	1854
173	14878	15050	1098	1301	7568	1584
572	163306	163877	4618	5268	82081	5175
678	229503	230180	5618	6434	115259	6129
479	114481	114959	3756	4278	57599	4338
134	8911	9044	804	950	4555	1233
380	72010	72389	2852	3288	36289	3447
575	165025	165599	4632	5301	82943	5202
582	169071	169652	4714	5378	84971	5265
61	1830	1890	306	363	960	384
529	139656	140184	4190	4795	70224	4788
560	156520	157079	4510	5136	78679	5067
375	70125	70499	2804	3238	35343	3402
286	40755	41040	2034	2348	20591	2601
987	486591	487577	8702	9833	244035	8910
139	9591	9729	846	995	4899	1278
639	203841	204479	5264	6005	102399	5778
474	112101	112574	3712	4228	56405	4293
61	1830	1890	306	363	960	384
629	197506	198134	5158	5895	99224	5688
434	93961	94394	3342	3828	47305	3933
468	109278	109745	3646	4168	54989	4239
707	249571	250277	5916	6753	125315	6390
577	166176	166752	4644	5323	83520	5220
336	56280	56615	2460	2848	28391	3051
733	268278	269010	6210	7039	134688	6624
30	435	464	122	148	239	198
645	207690	208334	5324	6071	104328	5832
667	222111	222777	5530	6313	111555	6030
104	5356	5459	594	704	2755	963
303	45753	46055	2186	2518	23103	2754
591	174345	174935	4794	5477	87615	5346
798	318003	318800	6818	7754	159599	7209
889	394716	395604	7760	8755	198024	8028
264	34716	34979	1838	2128	17555	2403
843	354903	355745	7262	8249	178083	7614
89	3916	4004	492	584	2024	552
865	373680	374544	7540	8491	187488	7812
47	1081	1127	212	265	575	300
731	266815	267545	6142	7017	133955	6606
176	15400	15575	1120	1328	7831	1611
566	159895	160460	4586	5202	80371	5121
36	630	665	154	188	341	234
192	18336	18527	1254	1472	9311	1755
839	351541	352379	7232	8205	176399	7578
752	282376	283127	6358	7248	141751	6795
838	350703	351540	7188	8194	175979	7569
463	106953	107415	3612	4118	53823	4194
586	171405	171990	4756	5422	86141	5301
968	468028	468995	8496	9624	234739	8739
26	325	350	100	124	181	174
930	431985	432914	8144	9206	216689	8397
503	126253	126755	3950	4518	63503	4554
167	13861	14027	1054	1247	7055	1530
24	276	299	92	112	155	162
420	87990	88409	3210	3688	44309	3807
648	209628	210275	5342	6104	105299	5859
315	49455	49769	2280	2638	24963	2862
549	150426	150974	4408	5015	75624	4968
124	7626	7749	738	864	3905	1143
77	2926	3002	408	488	1520	480
534	142311	142844	4258	4850	71555	4833
466	108345	108810	3640	4148	54521	4221
191	18145	18335	1252	1463	9215	1746
862	371091	371952	7474	8458	186191	7785
413	85078	85490	3130	3618	42848	3744
645	207690	208334	5324	6071	104328	5832
1000	499500	500499	8816	9976	250499	9027
938	439453	440390	8228	9294	220429	8469
266	35245	35510	1852	2148	17821	2421
893	398278	399170	7852	8799	199808	8064
128	8128	8255	766	896	4159	1179
707	249571	250277	5916	6753	125315	6390
186	17205	17390	1204	1418	8741	1701
522	135981	136502	4144	4718	68381	4725
767	293761	294527	6494	7413	147455	6930
325	52650	52974	2364	2738	26568	2952
418	87153	87570	3184	3668	43889	3789
898	402753	403650	7840	8854	202049	8109
638	203203	203840	5264	5994	102079	5769
366	66795	67160	2742	3148	33671	3321
55	1485	1539	266	321	783	348
897	401856	402752	7824	8843	201600	8100
